food_id,Menu,ingredient_id,Amount_g,Ingredient,품목코드,단가(원/g),총 가격(원)
A010100001,쌀밥,R101-008000301-0000,90,백미,1000119514,2.6385,237.465
B050200033,참치김치두부국,D315-670000000-0001,35,배추김치,1000622543,1.89,66.15
B050200033,참치김치두부국,P106-001000100-0001,40,두부,1000152538,1.896666667,75.86666667
B050200033,참치김치두부국,R106-182000001-0000,40,콩나물,1000623275,1,40
B050200033,참치김치두부국,R211-059014029-0000,15,참치(통조림),1000510867,9.281914894,139.2287234
B050200033,참치김치두부국,R106-191040001-0000,3,대파,1000007015,3.38,10.14
B050200033,참치김치두부국,R118-001030000-0000,6,국간장,1000453770,1.347692308,8.086153846
B050200033,참치김치두부국,R318-020030000-0000,0.3,소금,1000736517,1.43,0.429
B050200033,참치김치두부국,R114-020000000-0000,3,참기름,1000697992,10.10555556,30.31666667
C130200086,미트볼조림,P112-010001000-0005,3,고추장,1000006560,9.54,28.62
C130200086,미트볼조림,R106-191040001-0000,1,대파,1000007015,3.38,3.38
C130200086,미트볼조림,R209-014008601-0000,30,돼지고기(살코기),1000008287,7.3,219
C130200086,미트볼조림,R106-053002201-0000,1,마늘,1000006845,5.68,5.68
C130200086,미트볼조림,P104-601060100-0002,5,물엿,1000018123,2.024,10.12
C130200086,미트볼조림,R103-011020000-0000,1,백설탕,1000612561,1.438666667,1.438666667
C130200086,미트볼조림,P116-706070200-0001,7,빵가루,1000179226,38.38,268.66
C130200086,미트볼조림,R318-020030000-0000,1,소금,1000736517,1.43,1.43
C130200086,미트볼조림,R209-027078401-0000,30,쇠고기(목심),1000709635,16.98,509.4
C130200086,미트볼조림,P112-004000400-0041,3,진간장,1000453770,1.347692308,4.043076923
C130200086,미트볼조림,R114-020000000-0000,0.5,참기름,1000697992,10.10555556,5.052777778
C130200086,미트볼조림,P107-101010100-0023,5,콩기름,1000641822,2.588888889,12.94444444
C130200086,미트볼조림,P113-203020300-0007,5,토마토케첩,1000665985,7.4,37
C130200086,미트볼조림,R118-041010006-0000,0.3,후춧가루,1000520223,25.51111111,7.653333333
C090700043,브로컬리계란찜,R210-003000001-0000,60,달걀,1000520018,4.105555556,246.3333333
C090700043,브로컬리계란찜,R106-092000001-0000,10,브로콜리,1000007463,6.7,67
