food_id,Menu,에너지(kcal),단백질(g),지방(g),탄수화물(g),나트륨(mg),칼슘(mg),비타민 D(μg),식이섬유(g)
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050200033,참치김치두부국,127.55,10.15219,7.1305,5.60275,799.053,65.784,0.945,2.747
C130200086,미트볼조림,241.229,13.509,13.60775,14.7394,660.52,10.805,0.153,0.728
C090700043,브로컬리계란찜,85.9,8.1708,4.9762,1.2635,501.84,38.27,0.624,0.342
C150100023,고사리나물,41.505,1.7136,3.18065,2.23155,240.25,10.615,0,1.6745
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050100073,냉이무된장국,33.37,2.5524,0.6762,4.9576,350.88,73.96,0,2.29
C120200031,고추장오리불고기,247.238,12.5449,15.1935,16.3431,409.81,35.39,1.182,4.272
C151100051,양배추두부쌈,156.3,8.15945,2.394,26.80025,512.965,64.22,0,5.01
C150100124,콩나물무침,35.45,2.7449,2.1339,2.68475,169.78,34.51,0,1.046
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
P120-104010400-0155,어묵_새참바골드,34.2,3.858,0.342,3.858,261.3,0,0,0
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050100013,감자양파된장국,74.57,3.48669,1.02485,14.1564,737.028,18.729,0,3.849
C090600016,연두부찜,53.57,5.5753,2.6031,2.043,99.69,0.86,0,0.07
C120100032,건새우볶음,97.17,11.5958,3.7435,3.58745,191.45,819.205,0,0.1025
C150200102,치커리무침,42.121,1.79548,1.66393,6.29959,407.026,55.802,0,3.0513
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050900050,매운애호박국,32.19,1.6078,0.2322,6.8283,401.47,16.97,0,2.49
C120200486,소고기가지볶음,371.5448,15.89439,25.73694,17.72828,846.157,36.045,0,3.5093
C120100209,멸치볶음,61.916,2.17083,3.77943,4.63829,71.961,3.677,0,0.1483
C101000002,김구이,31.65,0.76935,3.0441,0.95275,187.595,5.61,0,0.912
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B060300005,갈비탕,440.5785,19.0093,36.7182,4.1774,736.95,33.27,0.26,0.852
C110200004,동그랑땡전,175.604,13.842,9.2891,7.8522,387.7,31.65,0.44,1.148
C120800008,느타리버섯볶음,44.805,1.7992,3.18905,4.85075,341.41,10.18,0,2.3705
C150100058,무말랭이무침,117.24025,4.37855,0.904725,23.82925,505.26,119.1975,0,6.6885
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
R108-010020001-0000,귤_온주밀감_생것,39,0.53,0.1,10.04,2,13,0,1.6
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050900092,콩나물국,22.11,2.5586,0.6907,2.7674,676.78,28,0,0.956
C120200586,아보카도오일훈제오리야채볶음,288.6095,17.565925,17.07687,15.92319,1581.7885,44.309,0,2.8931
C130300049,연근조림,74.87,1.6446,1.475,14.1177,391.33,22.5,0,1.525
C150200058,부추무침,86.64,2.4778,4.8775,9.2871,3.02,73.83,0,1.386
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050900089,콩가루배추국,105.645,8.5735,4.0916,10.30975,696.74,91.66,0,2.349
C120600017,두부두루치기,155.94,10.431,7.5082,12.5138,720.62,75.28,0,5.831
C120200526,소세지야채볶음,239.89,9.7109,12.5488,23.205,1125.27,14.17,0,2.472
C150100018,고구마순무침,71.04,2.94135,3.4924,7.54925,844.365,82.145,0,4.134
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B060200149,민물새우탕,52.344,5.962286667,0.670703333,6.18559,343.96,47.00433333,0,2.429
C120200130,닭가슴살카레볶음,120.39,18.03855,2.6711,5.3001,286.655,20.51,0,0.727
C150100052,마늘쫑무침,46.45,1.2817,0.9005,9.70525,510.86,27.655,0,2.5555
C150100148,(저염)봄동나물,28.715,1.58108,1.34125,3.5936,68.996,75.588,0,1.9795
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
P101-204000200-0081,양갱_연양갱,145.5,2,0,34.545,0,0,0,0
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050100230,아욱된장국,35.02,2.43145,0.666,5.9573,368.295,113.73,0,2.73
C120300125,당근계란볶음,106.54,4.19515,6.9552,6.56445,454.975,27.05,0.26,1.59
C150100087,시금치나물,32.68,2.2657,1.66355,3.24345,470.955,47.255,0,1.89
C150200040,무장아찌무침,36.045,0.7822,1.54455,5.03665,925.17,13.52,0,1.3585
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B050300046,명란미역국,28.15,2.62779,1.3029,1.40415,569.903,4.964,0,0.046
C130200055,돈육장조림,115.05,15.0388,2.7535,5.1221,503.99,6.78,0.15,0.276
C120300419,애호박채볶음,48.4625,0.974078333,3.114299167,4.9693525,85.0575,13.67391667,0,1.8945
C190100004,고추장아찌,10.77,0.5362,0.0415,2.3249,399.98,4.64,0,1.14
C170100001,배추김치,19.5,1.19505,0.21765,3.975,1194.571,37.93,0,1.857
A010100001,쌀밥,329.4,6.129,0.945,70.866,1.8,6.3,0,1.71
B051000018,명란순두부국,46.75,7.2765,1.32,1.0275,3,15.25,0,0.305
